,,,,FECHA,,4/27/2023,,,,,,
,DIA,HOME CLUB,,VISITANTE,,CATEGORIA,GRUPO,HORA,,,,
,JUEVES,MELLIZOS A,5,MELLIZOS B,17,3,B,200 pm,FUNDACION,,,
,,JUVENCIO A,4,MELLIZOS B,13,2,B,20 MD,EUNDAC ION,,,
,,TIGRITOS A,14,PIRATAS A,4,4,A,2-00 pm,RIVERO VILLAROEL,,,
,,TIGRITOS A,10,TIGRITOS B,30,3,B,20 rnd,RIVERO VILLAROEL,,,
,,TIGRITOS B,22,BRAVOS A,9,1,A,4:00 PM,RIVERO VILLAROEL,,,
,,COCODRILOS B,15,BRAVOS,9,3,B,2-00 pm,ROGELIO CARABALLO,,,
,,PIRATAS,10,COCODRILOS,8,2,A,20.md .,ROGELIO CARABALLO,,,
,,CAPITANES,12,BRAVOS,3,2,A,2 00 pm.,BOYACA V,,,
,,ESCORPIONES,2,TIGRITOS A,8,2,B,20 md,BOYACA V,,,
,,BRAVOS A,15,MELLIZOS,12,4,B,2:00 PM,BOYACA II,,,
,,NEW ASTROS,5,CAPITANES B,17,1,A,4:00 PM,BOYACA II,,,J