1,1,TIGRITOS A,
1,1,TIGRITOS B,
1,1,BRAVOS A,
1,4,CAPITANES A,
1,4,CAPITANES B,
1,4,JUVENCIO,
1,1,BRAVOS B ,
1,1,SABUESOS,
1,1,ANGELES,
1,1,PIRATAS,
1,1,MELLIZOS,
1,1,NEW ASTROS,
1,2,TIG A,
1,2,TIG B,
1,2,TIG C,
1,2,CAP,
1,2,JVENVCIO A,
1,2,JUVENCIO B,
1,2,BRAVOS,
1,2,ANGELE,
1,2,PIRATAS,
1,2,ESCORPIONES,
1,2,MELLIZOS A,
1,2,MELLIZOS B,
1,2,NEW ASTROS,
1,2,GIGANTES,
1,2,COCOD,
1,3,TIG A,
1,3,TIG B,
1,3,TIG C ,
1,3,CAP A,
1,3,CAP B,
1,3,MVP,
1,3,JUVENCIO A,
1,3,JUVENCIO B,
1,3,JUVENCIO C,
1,3,BRAVOS,
1,3,SABUESOS,
1,3,ANGELES,
1,3,PIRATAS,
1,3,ESCORPIONES,
1,3,MELLIZOS A,
1,3,MELLIZOS B,
1,3,MELLIZOS C,
1,3,NEW ASTROS A,
1,3,NEW ASTROS B,
1,3,GIGANTES,
1,3,GUARDIANES,
1,3,COCOD A ,
1,3,COCOD B,